id	precision	name	storage	purpose	range	eigenvectors	method	note
1	c	hetrd	full	reduce to real tridiagonal	none	none		
2	z	hetrd	full	reduce to real tridiagonal	none	none		
3	c	ungtr	full	generate Q	none	none		
4	z	ungtr	full	generate Q	none	none		
5	c	pteqr	full	eigenvalues of symmetric tridiagonal matrix	No	both	QL or QR	call CHETRD and CUNGTR first
6	z	pteqr	full	eigenvalues of symmetric tridiagonal matrix	No	both	QL or QR	call ZHETRD and ZUNGTR first
7	c	hptrd	packed	reduce to real tridiagonal	none	none		
8	z	hptrd	packed	reduce to real tridiagonal	none	none		
9	c	upgtr	packed	generate Q	none	none		
10	z	upgtr	packed	generate Q	none	none		
11	c	pteqr	packed	eigenvalues of symmetric tridiagonal matrix	No	both	QL or QR	call CHPTRD and CUPGTR first
12	z	pteqr	packed	eigenvalues of symmetric tridiagonal matrix	No	both	QL or QR	call ZHPTRD and ZUPGTR first
13	c	hbtrd	band	reduce to real tridiagonal	none	none		
14	z	hbtrd	band	reduce to real tridiagonal	none	none		
15	c	pteqr	band	eigenvalues of symmetric tridiagonal matrix	No	both	QL or QR	call CHBTRD first (set VECT = 'V' to form Q)
16	z	pteqr	band	eigenvalues of symmetric tridiagonal matrix	No	both	QL or QR	call ZHBTRD first (set VECT = 'V' to form Q)
17	c	pteqr	tridiagonal	eigenvalues of symmetric tridiagonal matrix	No	original	QL or QR	
18	z	pteqr	tridiagonal	eigenvalues of symmetric tridiagonal matrix	No	original	QL or QR	
